Brands,Buyer,Buyer PO,Color,Commercial Inv. No.,Customer Group,Customer Style,Delivery Date,Division,Gender,Invoice No,Item,Order Type,Plant,Season,Ship Date,Style,Currency,Rate,Exchange Rate,USD Rate,Quantity,Net Value,Ship Quantity,INR Value,USD Value,Delivery_Delay_Days,On_Time_Flag,In_Full_Flag,OTIF_Flag,Delayed,Days_Left,Order_Value,Order_Age,PR_Created_Date,PR_Delay_Days,PR_Approved_Date,Plant_Load_%,Not_Shipped_Flag
CREWCUT FACTORY,J.CREW CREW CUTS RETAIL DC,9061710 PPK,PT9303 LILAH BLOCK,4000019148,J.CREW,CR944/249477,30-10-2025,WOVEN,GIRLS,RGHR25105327,DRESS,BULK,GURUGRAM-227 (WOVEN),SP26,30-10-2025,JC11100367,USD,9.39,87,87,1128,10591.92,1128,921497.04,10591.92,0,0,1,0,0,-113,10591.92,65,02-10-2025,8,10-10-2025,76.43564356,1
KIDS UNI,HANNA ANDERSON,32926,HPR-31443,4000016230,HANNA ANDERSSON,83588,16-07-2025,KNITS,KIDS,RGUP25101039,TOP,BULK,NOIDA - D-53-54 (KNITS),HO25,16-07-2025,HA10100079,USD,6,84.5,84.5,4400,26400,4606,2230800,26400,0,0,1,0,0,-219,26400,82,11-06-2025,17,28-06-2025,79.20792079,1
CALVIN KLEIN,PVH CORP.,4300167691,BRILLIANT WHITE,Not Generated,PVH CORP,44G028G,05-02-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-407 (WOVEN),SU26,05-02-2026,PC11100056,USD,13.9,87.75,89.1,369,5129.1,0,450078.53,5051.39,0,0,0,0,0,-15,5051.39,14,11-01-2026,6,17-01-2026,119.009901,0
CASUAL DRESSES T-42,MARKS AND SPENCER PLC,2031127279,RED,4000022371,MARK & SPENCER,9034W REG,18-01-2026,WOVEN,WOMEN,RGHR25107825,DRESS,BULK,MANESAR-166 (WOVEN),SP26,18-01-2026,MS11100435,USD,10.5,89.09,89.1,49,514.5,49,45836.81,514.44,0,0,1,0,0,-33,514.44,58,24-12-2025,7,31-12-2025,83.56435644,1
LANDS END,ASMARA INTERNATIONAL LIMITED,204801,RICH COFFEE,4000015941,LANDS END,554484-XR,04-07-2025,WOVEN,WOMEN,RGHR25103006,DRESS,BULK,MANESAR-181 (WOVEN),FH25,04-07-2025,LE11100024,USD,16.87,85.22,84.5,148,2496.76,193,212773.89,2518.03,0,1,1,1,0,-231,2518.03,28,25-05-2025,7,01-06-2025,79.20792079,1
QVC INC.,QVC INC.,433396,DARK TEAL,4000018079,GENIEMODE GLOBAL INC,102076 MAMA,08-09-2025,KNITS,WOMEN,RGUP25101535,TOP,BULK,NOIDA - B-33-34 (KNITS),HO25,08-09-2025,GE10100011,USD,8.15,87.29,87.3,50,407.5,50,35570.68,407.45,0,1,1,1,0,-165,407.45,25,10-08-2025,3,13-08-2025,68.71287129,1
AMERICAN EAGLE,AEO MANAGEMENT CO.,1310764,CW16 BROWN,Not Generated,AMERICAN EAGLE,7012,13-01-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,MANESAR-7/4 (WOVEN),SP26,13-01-2026,AE11100047,USD,6.25,87.8,89.1,113,706.25,0,62008.75,695.95,0,1,0,0,0,-38,695.95,77,20-12-2025,3,23-12-2025,70.0990099,0
LOFT,PREMIUM BRANDS OPCO LLC,6646024,ICED ESPRESSO,4000016196,PREMIUM BRANDS,782115,09-07-2025,KNITS,WOMEN,RGHR25103306,SWEATSHIR,BULK,GURUGRAM-418 (KNITS),FA25,09-07-2025,PB10100188,USD,9.98,84.5,84.5,1000,9980,1000,843310,9980,0,0,1,0,0,-226,9980,47,05-06-2025,9,14-06-2025,79.20792079,1
SUPER DRY,RELIANCE BRANDS LIMITED,5000506896,BAY BLUE,Not Generated,RICHA GLOBAL,M1012368A BUY-3,16-12-2025,KNITS,MEN,Not Generated,TEE,BULK,MANESAR-407 (KNITS),SS26,16-12-2025,SU10100244,INR,465,1,89.6,168,78120,0,78120,871.88,0,0,0,0,0,-66,871.88,88,21-11-2025,9,30-11-2025,88.91089109,0
MADEWELL,J.CREW OPERATING CORP.,4106778 PPK,PP8096 DIAMOND,Not Generated,J.CREW,OA397/264482,19-02-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,GURUGRAM-294 (WOVEN),SU26,19-02-2026,JC11100643,USD,15.2,87,89.1,2035,30932,0,2691084,30202.96,0,0,0,0,0,-1,30202.96,57,22-01-2026,21,12-02-2026,89.5049505,0
SUPER DRY,DKH RETAIL LTD,1110807,INDIANA RED,4000016114,SUPER DRY,M2014309A BUY5,10-07-2025,KNITS,MEN,RGHR25103248,HENLEY,BULK,MANESAR-407 (KNITS),AW25,10-07-2025,SU10100110,GBP,11,114.75,84.5,280,3080,280,353430,4182.6,0,0,1,0,0,-225,4182.6,31,05-06-2025,9,14-06-2025,70.69306931,1
LUCKY BRAND,ASTRA CONNECT LLC,2L36400,SUNLIGHT,Not Generated,LUCKY BRAND DUNGAREE,168514,16-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,GURUGRAM-871 (KNITS),SP26,16-01-2026,LU10100011,USD,4.5,87,89.1,600,2700,0,234900,2636.36,0,1,0,0,0,-35,2636.36,87,21-12-2025,9,30-12-2025,94.05940594,0
WOMENS RETAIL,J.CREW OPERATING CORP,1798341,PT8282,4000017638,J.CREW,CP159/241663,04-09-2025,WOVEN,WOMEN,RGHR25104177,DRESS,BULK,GURUGRAM-227 (WOVEN),HO25,04-09-2025,JC11100268,USD,44.36,86.2,86.2,300,13308,314,1147149.6,13308,0,1,1,1,0,-169,13308,22,13-08-2025,9,22-08-2025,73.26732673,1
CALVIN KLEIN,PVH CORP.,4500621133,CASUAL BLUE,4000017009,PVH CORP,47C200G-HO25,06-08-2025,KNITS,WOMENS,RGUP25101228,TOP,BULK,NOIDA - B-33-34 (KNITS),HO25,06-08-2025,PC10100065,USD,4.99,85.09,85.1,1300,6487,1300,551978.83,6486.24,0,0,1,0,0,-198,6486.24,58,29-06-2025,8,07-07-2025,87.72277228,1
QUINCE,LAST BRAND INC. (QUINCE),25855,GREY STRIPE,4000018381,LAST BRAND INC.,KUK40001TF-H25,27-09-2025,KNITS,KIDS,RGUP25101653,TOP,BULK,NOIDA - D-53-54 (KNITS),FA25,27-09-2025,LI10100029,USD,7,87.15,87.15,298,2086,298,181794.9,2086,0,0,1,0,0,-146,2086,54,01-09-2025,9,10-09-2025,69.10891089,1
CALVIN KLEIN,PVH CORP.,4100038136,DARK SAPPHIRE,4000019590,PVH CORP,4L0216S,17-11-2025,KNITS,MEN,RGUP25101915,TEE,BULK,NOIDA - D-49-50 (KNITS),SP26,17-11-2025,PC10100119,USD,5.2,87.75,87.75,210,1092,210,95823,1092,0,0,1,0,0,-95,1092,63,15-10-2025,7,22-10-2025,89.30693069,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1112060,EAGLE GRN CHSTBAND,4000017553,SUPER DRY,M6010909A BUY6,22-08-2025,KNITS,MEN,RGHR25104168,RUGBY,BULK,MANESAR-407 (KNITS),AW25,22-08-2025,SU10100120,GBP,9.4,114.12,86.2,250,2350,250,268182,3111.16,0,0,1,0,0,-182,3111.16,27,20-07-2025,7,27-07-2025,68.51485149,1
BABY TODDLER,HANNA ANDERSON,34352,HPR-31672,4000021408,HANNA ANDERSSON,84577,26-12-2025,WOVEN,TODDLER,RGHR25107115,TOP,BULK,MANESAR-11 (WOVEN),SU26,26-12-2025,HA11100180,USD,6,89.54,89.55,1000,6000,1040,537240,5999.33,0,0,1,0,0,-56,5999.33,30,02-12-2025,5,07-12-2025,86.93069307,1
WOMENS RETAIL,J.CREW OPERATING CORP,2769577,PT9491 CLEMMY,4000021785,J.CREW,CS597/250244-SP26,01-01-2026,WOVEN,WOMEN,RGHR25107365,DRESS,BULK,MANESAR-181 (WOVEN),SP26,01-01-2026,JC11100457,USD,25.62,89.54,89.55,58,1485.96,58,133052.86,1485.79,0,1,1,1,0,-50,1485.79,28,29-11-2025,8,07-12-2025,81.38613861,1
WOMENS RETAIL,J.CREW OPERATING CORP,2770151,YD9657 LT BLUE,4000021686,J.CREW,CS276/224492-SP26,25-12-2025,WOVEN,WOMEN,RGHR25107265,PANTS,BULK,GURUGRAM-227 (WOVEN),SP26,25-12-2025,JC11100563,USD,22.64,89.54,89.55,294,6656.16,308,595992.57,6655.42,0,0,1,0,0,-57,6655.42,59,24-11-2025,4,28-11-2025,82.97029703,1
SUPER DRY,DKH RETAIL LTD,1110747,LAUREN NAVY,4000015864,SUPER DRY,M2014013A BUY5,03-07-2025,KNITS,MEN,RGHR25103034,TEE,BULK,MANESAR-407 (KNITS),AW25,03-07-2025,SU10100099,GBP,12.1,114.75,85.95,295,3569.5,295,409600.13,4765.56,0,1,1,1,0,-232,4765.56,47,05-06-2025,4,09-06-2025,84.35643564,1
WOMENS RETAIL,J.CREW OPERATING CORP,1803879,RD5133 FESTIVAL,Not Generated,J.CREW,CV897/267452-SP26,26-02-2026,WOVEN,WOMEN,Not Generated,SKIRTS,BULK,GURUGRAM-215 (WOVEN),SP26,26-02-2026,JC11100748,USD,29.8,87.75,89.1,501,14929.8,0,1310089.95,14703.59,0,1,0,0,0,6,14703.59,85,26-01-2026,5,31-01-2026,81.58415842,0
J.JILL,JILL ACQUISITION LLC,3046244,BLACK INK ETCHED,4000017856,J.JILL,KTP232691 HO25,03-09-2025,KNITS,WOMEN,RGHR25104344,TOP,BULK,MANESAR-407 (KNITS),HO25,03-09-2025,JJ10100094,USD,9.46,86.2,86.2,865,8182.9,882,705365.98,8182.9,0,1,1,1,0,-170,8182.9,71,14-08-2025,3,17-08-2025,72.67326733,1
CROWN & IVY,BELK,2690565,LIME DASH,4000021375,BELK INTL.,43627SPH000008,29-12-2025,WOVEN,GIRLS,RGHR25107089,SHORTS,BULK,MANESAR-427 (WOVEN),SP26,29-12-2025,BI11100323,USD,4.67,89.59,89.55,1170,5463.9,1170,489510.8,5466.34,0,0,1,0,0,-53,5466.34,55,25-11-2025,7,02-12-2025,74.45544554,1
PERUNA T-53,MARKS AND SPENCER PLC,2031104991,TRUFFLE,4000016139,MARK & SPENCER,1412U,20-07-2025,KNITS,WOMEN,RGHR25103258,SWEATSHIR,BULK,GURUGRAM-232 (KNITS),AU25,20-07-2025,MS10100046,USD,12.85,84.5,85.1,36,462.6,36,39089.7,459.34,0,1,1,1,0,-215,459.34,85,10-06-2025,7,17-06-2025,64.35643564,1
CALVIN KLEIN,CALVIN KLEIN EUROPE BV,4500626623,BRILLIANT WHITE,4000017413,PVH CORP,47D203G-HO25,12-08-2025,KNITS,WOMENS,RGUP25101391,TOP,BULK,NOIDA - D-49-50 (KNITS),HO25,12-08-2025,PC10100068,USD,7.16,86.9,86.9,1,7.16,1,622.2,7.16,0,0,1,0,0,-192,7.16,34,05-07-2025,6,11-07-2025,65.34653465,1
KIDS UNI,HANNA ANDERSON,34118,5LZ CARROT CARS,4000019921,HANNA ANDERSSON,84292,17-11-2025,KNITS,KIDS,RGUP25101995,TEE,BULK,NOIDA - D-53-54 (KNITS),SS26,17-11-2025,HA10100186,USD,3.66,87.75,87.75,91,333.06,92,29226.02,333.06,0,0,1,0,0,-95,333.06,38,27-10-2025,4,31-10-2025,89.30693069,1
CORE,TALBOTS IMPORT LLC.,6370156,DAISY,4000020505,TALBOTS,261013171,05-12-2025,KNITS,WOMEN,RGHR25106434,TOP,BULK,GURUGRAM-232 (KNITS),SP26,05-12-2025,TA10100112,USD,4.75,87.79,89.6,1785,8478.75,1785,744349.46,8307.47,0,1,1,1,0,-77,8307.47,47,06-11-2025,3,09-11-2025,101.3861386,1
PERUNA T-53,MARKS AND SPENCER PLC,2012824884,DARK GREEN,4000018621,MARK & SPENCER,3542U-PET,16-10-2025,WOVEN,WOMEN,RGHR25104951,DRESS,BULK,MANESAR-166 (WOVEN),WI25,16-10-2025,MS11100309,USD,22.65,88,88,127,2876.55,160,253136.4,2876.55,0,0,1,0,0,-127,2876.55,65,04-09-2025,4,08-09-2025,64.95049505,1
CORE,TALBOTS IMPORT LLC.,6481297,CANDIED BLUE,Not Generated,TALBOTS,262034305W,06-02-2026,KNITS,WOMEN,Not Generated,TOP,BULK,GURUGRAM-232 (KNITS),SU26,06-02-2026,TA10100153,USD,7.95,87.8,89.1,400,3180,0,279204,3133.6,0,1,0,0,0,-14,3133.6,15,12-01-2026,4,16-01-2026,134.6534653,0
AMERICAN EAGLE,AEO MANAGEMENT CO.,1273239,674 POETIC PINK,4000019037,AMERICAN EAGLE,6724,28-10-2025,WOVEN,WOMEN,RGHR25105264,TOP,BULK,MANESAR-7/4 (WOVEN),SP26,28-10-2025,AE11100017,USD,5.15,87,87,6330,32599.5,6525,2836156.5,32599.5,0,0,1,0,0,-115,32599.5,35,20-09-2025,17,07-10-2025,66.73267327,1
TODDLER GIRLS T-77,MARKS AND SPENCER PLC,TBC-UK,MULTI,Not Generated,MARK & SPENCER,T7792BB/3951E,19-02-2026,WOVEN,KIDS,Not Generated,DRESS,BULK,NOIDA - D-53-54 (WOVEN),SU26,19-02-2026,MS11100562,USD,8,88,89.1,5500,44000,0,3872000,43456.79,0,0,0,0,0,-1,43456.79,69,19-01-2026,21,09-02-2026,89.5049505,0
Unknown,JOHNNY SMS CALIFORNIA,TBA,SORRENTO SUN PRACH,Not Generated,JOHNNY WAS,L37626-4,29-08-2025,WOVEN,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-219 (WOVEN),SS26,29-08-2025,JW11100030,USD,90,86.2,86.2,8,720,0,62064,720,0,0,0,0,0,-175,720,76,19-07-2025,6,25-07-2025,61.98019802,0
CALVIN KLEIN,PVH ASIA LIMITED,7100022530,BLACK,Not Generated,PVH CORP,4RG834G,23-03-2026,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - B-33-34 (KNITS),SU26,23-03-2026,PC10100176,USD,6.63,87.8,89.1,352,2333.76,0,204904.13,2299.71,0,0,0,0,0,31,2299.71,13,09-02-2026,3,12-02-2026,83.36633663,0
MASSIMO DUTTI,MASSIMO DUTTI,71242-06,747 VISON,4000018592,MASSIMO DUTTI,6827/812,27-10-2025,KNITS,WOMEN,RGUP25101712,TOP,BULK,NOIDA - B-33-34 (KNITS),FA25,27-10-2025,MD10100005,USD,5.65,88,87,9000,50850,9000,4474800,51434.48,0,1,1,1,0,-116,51434.48,67,24-09-2025,17,11-10-2025,64.55445545,1
LOFT,PREMIUM BRANDS OPCO LLC,5019352,BLACK 2222,Not Generated,PREMIUM BRANDS,775119,06-02-2026,KNITS,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-232 (KNITS),SU26,06-02-2026,PB10100517,USD,9.89,89.6,89.1,2948,29155.72,0,2612352.51,29319.33,0,0,0,0,0,-14,29319.33,25,28-12-2025,16,13-01-2026,134.6534653,0
MADEWELL,J.CREW OPERATING CORP.,7110025,BR6759 BURNT COCOA,Not Generated,J.CREW,OA350/255561,19-02-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-294 (WOVEN),SU26,19-02-2026,JC11100632,USD,16.7,87.8,89.1,662,11055.4,0,970664.12,10894.1,0,0,0,0,0,-1,10894.1,13,11-01-2026,5,16-01-2026,89.5049505,0
OLDER GIRLS T-74,MARKS AND SPENCER PLC,2031143164,LIGHT DENIM,4000021651,MARK & SPENCER,6033E-TENCEL,25-01-2026,WOVEN,KIDS,RGHR25107244,SKIRTS,BULK,MANESAR-7/4 (WOVEN),SU26,25-01-2026,MS11100608,USD,8.15,89.54,89.1,400,3260,400,291900.4,3276.1,0,0,1,0,0,-26,3276.1,85,05-01-2026,7,12-01-2026,100.5940594,1
WOMENS RETAIL,J.CREW OPERATING CORP,1800882,BK0001 BLACK,4000019750,J.CREW,CL046/237297-HO25,13-11-2025,WOVEN,WOMEN,RGHR25105797,DRESS,BULK,MANESAR-181 (WOVEN),HO25,13-11-2025,JC11100464,USD,40.45,87.75,87.75,88,3559.6,88,312354.9,3559.6,0,0,1,0,0,-99,3559.6,31,01-10-2025,6,07-10-2025,75.24752475,1
MADEWELL,J.CREW OPERATING CORP.,4107247 AIR,BL5131 CLASSIC,Not Generated,J.CREW,OA389/255672,20-03-2026,WOVEN,WOMEN,Not Generated,TOP,BULK,GURUGRAM-294 (WOVEN),SU26,20-03-2026,JC11100671,USD,14.25,89.6,89.1,955,13608.75,0,1219344,13685.12,0,0,0,0,0,28,13685.12,57,28-02-2026,6,06-03-2026,78.61386139,0
OUTLET,CHICOS RETAIL SERVICES INC.,4502229498,BLACK,Not Generated,CHICO'S,202-26C133724,20-01-2026,KNITS,WOMEN,Not Generated,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,20-01-2026,CH10100053,USD,3.05,87.8,89.1,1000,3050,0,267790,3005.5,0,1,0,0,0,-31,3005.5,51,08-12-2025,9,17-12-2025,81.58415842,0
CORE,TALBOTS IMPORT LLC.,6481308,CANDIED BLUE,Not Generated,TALBOTS,262034305W,06-02-2026,KNITS,WOMEN,Not Generated,TOP,BULK,GURUGRAM-232 (KNITS),SU26,06-02-2026,TA10100153,USD,7.95,87.8,89.1,30,238.5,0,20940.3,235.02,0,0,0,0,0,-14,235.02,43,27-12-2025,3,30-12-2025,134.6534653,0
CALVIN KLEIN,PVH ARVIND FASHION PRIVATE LIM,7100017584,LIME SPRITZ,Not Generated,PVH CORP,4RE812G,19-11-2025,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,19-11-2025,PC10100085,INR,433.5,1,87.75,63,27310.5,0,27310.5,311.23,0,0,0,0,0,-93,311.23,62,11-10-2025,7,18-10-2025,71.48514851,0
CASUAL DRESSES T-42,MARKS AND SPENCER PLC,2031129267,BLACK MIX,4000020135,MARK & SPENCER,3375,07-12-2025,WOVEN,WOMEN,RGHR25106106,DRESS,BULK,MANESAR-166 (WOVEN),SP26,07-12-2025,MS11100369,USD,13.55,87.79,89.6,1967,26652.85,1967,2339853.7,26114.44,0,0,1,0,0,-75,26114.44,15,03-11-2025,9,12-11-2025,74.05940594,1
CORE,NEWTIMES MACAO COMMERCIAL OFFS,3047503,DUNE,Not Generated,J.JILL,WDR339433,08-01-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,GURUGRAM-215 (WOVEN),SP26,08-01-2026,JJ11100121,USD,15.86,89.1,89.1,124,1966.64,0,175227.62,1966.64,0,1,0,0,0,-43,1966.64,5,15-12-2025,9,24-12-2025,77.42574257,0
OUTLET,CHICOS RETAIL SERVICES INC.,4502228811PPK,VERY BERRY,4000020766,CHICO'S,202-26C133725,16-12-2025,KNITS,WOMEN,RGUP25102169,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,16-12-2025,CH10100058,USD,3.23,89.59,89.6,280,904.4,280,81025.2,904.3,0,0,1,0,0,-66,904.3,57,10-11-2025,7,17-11-2025,88.91089109,1
QVC INC.,QVC INC.,453347,INDIGO,4000019628,GENIEMODE GLOBAL INC,103764 P-MAMA,18-11-2025,KNITS,WOMEN,RGUP25101934,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,18-11-2025,GE10100019,USD,7.1,87.75,87.75,13,92.3,13,8099.33,92.3,0,1,1,1,0,-94,92.3,35,08-10-2025,7,15-10-2025,81.38613861,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1109005,BORDEAUX RED,4000017346,SUPER DRY,W2012259A,10-08-2025,KNITS,WOMEN,RGHR25104225,HOODY,BULK,MANESAR-407 (KNITS),AW25,10-08-2025,SU10100053,GBP,10.7,115.09,86.9,135,1444.5,135,166247.51,1913.09,0,0,1,0,0,-194,1913.09,32,16-07-2025,9,25-07-2025,64.15841584,1
SLEEPWEAR T-37,MARKS AND SPENCER PLC,2031148366,BLUE MIX,4000021867,MARK & SPENCER,3486S-SHORT,04-01-2026,WOVEN,WOVEN,RGKA25100321,SHORTS,BULK,BANGALORE - JIGANI (WOVEN),SP26,04-01-2026,MS11100389,USD,3.9,89.54,89.1,181,705.9,181,63206.29,709.39,0,0,1,0,0,-47,709.39,33,23-11-2025,6,29-11-2025,84.15841584,1
QUINCE,LAST BRAND INC. (QUINCE),29872,UNICORN,4000020283,LAST BRAND INC.,KUK40001TF HOL25,15-11-2025,KNITS,KIDS,RGUP25102092,TOP,BULK,NOIDA - D-53-54 (KNITS),HO25,15-11-2025,LI10100042,USD,0.24,87.79,87.75,369,88.56,369,7774.68,88.6,0,1,1,1,0,-97,88.6,46,20-10-2025,4,24-10-2025,79.6039604,1
ATS,PREMIUM BRANDS OPCO LLC,5004693,BLACK,4000017493,PREMIUM BRANDS,853999,22-08-2025,WOVEN,WOMEN,RGHR25104038,TOP,BULK,GURUGRAM-294 (WOVEN),WI25,22-08-2025,PB11100472,USD,15,86.9,86.2,1386,20790,1448,1806651,20958.83,0,0,1,0,0,-182,20958.83,41,11-07-2025,3,14-07-2025,68.51485149,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1111696,WHT SND/LURN NVY,4000017550,SUPER DRY,M6010915A BUY5,25-08-2025,KNITS,MEN,RGHR25104167,TOP,BULK,MANESAR-407 (KNITS),AW25,25-08-2025,SU10100094,GBP,5.2,115.09,86.2,215,1118,215,128670.62,1492.7,0,0,1,0,0,-179,1492.7,32,01-08-2025,7,08-08-2025,69.9009901,1
AMERICAN EAGLE,AEO MANAGEMENT CO.,1310603,CW57 YELLOW,Not Generated,AMERICAN EAGLE,9540,13-01-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-7/4 (WOVEN),SP26,13-01-2026,AE11100051,USD,8.35,89.6,89.1,596,4976.6,0,445903.36,5004.53,0,0,0,0,0,-38,5004.53,5,22-12-2025,5,27-12-2025,70.0990099,0
WOMENS RETAIL,J.CREW OPERATING CORP,2771516/ppk,PT9316 CHRISTELLE,Not Generated,J.CREW,CU738/264435-SP26,19-02-2026,WOVEN,WOMEN,Not Generated,SKIRTS,BULK,GURUGRAM-215 (WOVEN),SP26,19-02-2026,JC11100578,USD,2,87.75,89.1,1495,2990,0,262372.5,2944.7,0,0,0,0,0,-1,2944.7,44,07-01-2026,6,13-01-2026,89.5049505,0
CROWN & IVY,BELK,2690853,PEACH DESIRE,4000022163,BELK INTL.,72627SPK000004 SU26,23-01-2026,KNITS,MEN,RGHR25107696,TEE,BULK,GURUGRAM-871 (KNITS),SU26,23-01-2026,BI10100243,USD,4.14,89.09,89.1,4174,17280.36,4174,1539507.27,17278.42,0,0,1,0,0,-28,17278.42,57,25-12-2025,19,13-01-2026,70.0990099,1
CALVIN KLEIN,PVH CORP.,4300155105,BRIGHT WHITE,4000020027,PVH CORP,4RAB819,23-11-2025,KNITS,MEN,RGUP25102035,TEE,BULK,NOIDA - D-53-54 (KNITS),SP26,23-11-2025,PC10100099,USD,5.2,87.75,87.8,269,1398.8,269,122744.7,1398,0,0,1,0,0,-89,1398,68,12-10-2025,7,19-10-2025,103.1683168,1
SUPER DRY,DKH RETAIL LIMITED (SUPERDRY),1117360,ENAMEL GREEN,Not Generated,SUPER DRY,W2012424A BUY-5,16-02-2026,KNITS,WOMEN,Not Generated,SWEATSHIR,BULK,MANESAR-407 (KNITS),SS26,16-02-2026,SU10100347,GBP,8.85,113.85,89.1,325,2876.25,0,327461.06,3675.21,0,1,0,0,0,-4,3675.21,15,18-01-2026,9,27-01-2026,101.980198,0
J.JILL,JILL ACQUISITION LLC,3048843,WHITE,Not Generated,J.JILL,KTP350492 SU26,18-02-2026,KNITS,WOMEN,Not Generated,TOP,BULK,MANESAR-407 (KNITS),SU26,18-02-2026,JJ10100371,USD,8.82,87.8,89.1,115,1014.3,0,89055.54,999.5,0,0,0,0,0,-2,999.5,42,15-01-2026,9,24-01-2026,94.05940594,0
WOMENS RETAIL,J.CREW OPERATING CORP,2771185 PPK,PT9251 WHITE LILAC,Not Generated,J.CREW,CU916/264088-SU26,19-03-2026,WOVEN,WOMEN,Not Generated,PANTS,BULK,GURUGRAM-227 (WOVEN),SU26,19-03-2026,JC11100589,USD,31.06,89.1,89.1,1250,38825,0,3459307.5,38825,0,0,0,0,0,27,38825,66,07-02-2026,7,14-02-2026,77.02970297,0
MADEWELL,J.CREW OPERATING CORP.,7105716,DARK GREEN WHITE,4000016389,J.CREW,NW712/242854,18-07-2025,WOVEN,WOMEN,RGHR25103329,SHIRT,BULK,GURUGRAM-215 (WOVEN),FA25,18-07-2025,JC11100139,USD,26.33,85.09,85.1,186,4897.38,195,416718.06,4896.8,0,0,1,0,0,-217,4896.8,44,20-06-2025,7,27-06-2025,90.69306931,1
TODDLER GIRLS T-77,MARKS AND SPENCER PLC,2040065907,MULTI,Not Generated,MARK & SPENCER,4444E-REPT,15-02-2026,WOVEN,KIDS,Not Generated,DRESS,BULK,NOIDA - D-53-54 (WOVEN),SU26,15-02-2026,MS11100485,USD,6.95,86.2,89.1,1500,10425,0,898635,10085.69,0,0,0,0,0,-5,10085.69,66,08-01-2026,7,15-01-2026,103.5643564,0
ATS,PREMIUM BRANDS OPCO LLC,5009697,2222 BLACK,4000019324,PREMIUM BRANDS,588389P SP26,07-11-2025,WOVEN,WOMEN,RGHR25105507,TOP,BULK,GURUGRAM-294 (WOVEN),SP26,07-11-2025,PB11100561,USD,8.74,87,87.75,600,5244,600,456228,5199.18,0,0,1,0,0,-105,5199.18,70,27-09-2025,5,02-10-2025,106.9306931,1
CALVIN KLEIN,PVH CORP.,4300136987,BRILLIANT WHITE,4000016792,PVH CORP,4RE802G,04-08-2025,KNITS,MEN,RGUP25101190,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,04-08-2025,PC10100091,USD,5,85.09,85.1,120,600,120,51054,599.93,0,0,1,0,0,-200,599.93,88,22-06-2025,4,26-06-2025,91.08910891,1
TOMMY BAHAMA SPORSTWEAR,TOMMY BAHAMA GLOBAL SOURCING,731828 B,CREEK BED,Not Generated,TOMMY BAHAMA,266-SS500925,18-02-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-181 (WOVEN),SP26,18-02-2026,TB11100049,USD,21,87.15,89.1,2042,42882,0,3737166.3,41943.51,0,0,0,0,0,-2,41943.51,70,06-01-2026,23,29-01-2026,94.05940594,0
LANE BRYANT,LANE BRYANT BRANDS OPCO LLC,720009,ASCENA WHITE,4000020835,LANE BRYANT,1149150,01-12-2025,KNITS,WOMEN,RGHR25106817,TOP,BULK,GURUGRAM-232 (KNITS),SP26,01-12-2025,LB10100006,USD,6.87,89.59,87.8,1968,13520.16,1871,1211271.13,13795.8,0,0,0,0,0,-81,13795.8,36,28-10-2025,8,05-11-2025,82.57425743,1
QUINCE,LAST BRAND INC. (QUINCE),23270,POP FLORAL,4000017273,LAST BRAND INC.,BUK40011TF CHASE HO25,11-08-2025,KNITS,KIDS,RGUP25101357,PAJAMA,BULK,NOIDA - D-53-54 (KNITS),HO25,11-08-2025,LI10100014,USD,7.89,86.9,86.9,108,852.12,108,74049.23,852.12,0,0,1,0,0,-193,852.12,19,01-07-2025,5,06-07-2025,106.1386139,1
OUTLET,CHICOS RETAIL SERVICES INC.,4502228513,BLACK,4000019764,CHICO'S,202-19C76147,18-11-2025,KNITS,WOMEN,RGUP25101968,TOP,BULK,NOIDA - B-33-34 (KNITS),SP26,18-11-2025,CH10100055,USD,3.61,87.75,87.75,1000,3610,1008,316777.5,3610,0,1,1,1,0,-94,3610,35,13-10-2025,4,17-10-2025,81.38613861,1
